0.0,2.0,3.0,4.0,5.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,24.0,26.0,28.0,30.0,31.0,41.0,42.0,43.0,44.0,46.0,47.0,49.0,50.0,51.0,52.0,53.0,54.0,58.0,60.0,62.0,63.0,77.0,80.0,85.0,251.0,252.0,253.0,254.0,255.0
0.99908,0.99025,0.99961,0.98763,0.97928,0.9788,0.99156,0.98907,0.99915,0.95071,0.93673,0.94254,0.97993,0.9933,0.99792,0.95763,0.98469,0.98216,0.98022,0.85635,0.92322,0.98513,0.99535,0.99569,0.86621,0.9552,0.99027,0.99696,0.99404,0.9933,0.90126,0.98494,0.96098,0.95782,0.99786,0.125,0.98534,0.89555,0.17647,0.95429,0.98683,0.99094,0.98008,0.98244,0.98387
17000527,750281,894689,5903,820,41595,161491,27915,10610,16067,3983,1253,3537,58845,14879,4932,2155,2073,12842,90,3308,779727,913089,4180,882,40115,156035,25626,9907,15662,3453,14613,4921,2276,12164,16,3546,7285,34,700,3038,1546,2259,1993,2728
0.99982,0.9975,0.99289,0.98893,0.95477,0.99348,0.99928,0.91397,0.9945,0.93531,0.97277,0.9101,0.99183,0.99922,0.96431,0.88134,0.92218,0.9602,0.9892,0.7913,0.98718,0.99792,0.99823,0.94576,0.95411,0.98172,0.99734,0.98866,0.97646,0.97912,0.98173,0.98918,0.99231,0.89588,0.99487,0.9802,0.88445,0.93041,0.73333,0.88651,0.98168,0.996,0.93386,0.99164,0.97561
17401310,608942,855090,13545,398,36336,148505,23410,10913,16340,4517,1802,4653,56373,14598,4626,3045,1759,12864,115,3667,622545,878714,9918,1264,35507,149021,21600,10621,16332,4489,14320,4553,2026,13638,101,3756,2773,15,396,2292,1248,1466,1315,2870
0.99997,0.98491,0.99054,0.97906,0.98218,0.97297,0.99179,0.96291,0.97611,0.98925,0.93614,0.95954,0.99134,0.99294,0.9854,0.94164,0.98418,0.93429,0.99214,0.61589,0.97904,0.99373,0.99274,0.9824,0.98433,0.98768,0.99228,0.91436,0.99854,0.98714,0.92499,0.99979,0.99548,0.97441,0.93998,0.83117,0.94669,0.79848,0.17647,0.90385,0.98293,0.95474,0.97997,0.99563,0.98893
17399288,657066,781096,25075,449,39397,154610,24430,13393,18601,4134,2521,7046,59023,13839,4147,3666,1674,12339,151,4961,665438,798142,27671,383,39942,155390,20820,13678,17183,4572,14189,4204,1914,12079,308,4577,4262,17,832,3691,1303,1447,1603,2981
0.99966,0.99911,0.99666,0.99791,1.0,0.97208,0.96537,0.9851,0.98741,0.97925,0.99246,0.99645,0.98486,0.99358,0.99387,0.9505,0.90359,0.81189,0.998,0.69512,0.97419,0.98025,0.98971,0.9969,0.91733,0.98485,0.99834,0.9721,0.97887,0.99132,0.97924,0.95972,0.94352,0.94804,0.9875,0.88649,0.96517,0.9234,0.96491,0.8011,0.99389,0.98721,0.98697,0.98923,0.99856
17595312,606786,773482,11510,426,32340,144241,21611,11913,19083,4246,1126,4360,51279,12887,4222,2437,1850,11522,328,3177,630841,779500,8069,689,32419,153480,22042,12823,18209,4382,12464,4479,2194,12082,625,3875,1436,28,638,2782,1172,1228,1206,2787
0.99948,0.99859,0.99651,0.99369,0.94228,0.99392,0.99264,0.98152,0.99165,0.99636,0.97674,0.97782,0.9768,0.99987,0.98856,0.96335,0.97738,0.98278,0.99042,0.88142,0.93475,0.9919,0.98712,0.96244,0.41304,0.94976,0.98217,0.97807,0.99366,0.9906,0.91139,0.99922,0.91141,0.9586,0.99521,0.92933,0.95867,0.87921,0.04478,0.79289,0.97363,0.95766,0.95537,0.93934,0.96594
