Right-Cerebellum-White-Matter,Right-Ventral-DC,Right-Cerebral-Cortex,Right-Choroid-Plexus,Left-Putamen,Left-Amygdala,Left-Cerebral-White-Matter,Non-WM-hypointensities,CC_Mid_Anterior,Left-Cerebellum-White-Matter,Right-Putamen,Right-Thalamus-Proper,Left-Accumbens-area,Right-Pallidum,Right-Amygdala,Left-Ventral-DC,Background,Right-Accumbens-area,Optic-Chiasm,Right-Cerebral-White-Matter,Left-Cerebellum-Cortex,CC_Mid_Posterior,Left-Lateral-Ventricle,Right-Inf-Lateral-Ventricle,Left-Cerebral-Cortex,CC_Central,CSF,Brain-Stem,Right-Cerebellum-Cortex,Right-Hippocampus,Left-vessel,Right-Caudate,Left-Choroid-Plexus,CC_Posterior,Left-Caudate,Right-Lateral-Ventricle,Left-Thalamus-Proper,Left-Inf-Lateral-Ventricle,4th-Ventricle,Left-Hippocampus,Right-vessel,WM-hypointensities,3rd-Ventricle,CC_Anterior,Left-Pallidum
0.9552,0.99786,0.99535,0.98534,0.95071,0.95763,0.99025,0.17647,0.98244,0.9788,0.9933,0.99696,0.98216,0.90126,0.96098,0.98022,0.99908,0.95782,0.95429,0.98513,0.99156,0.99094,0.98763,0.86621,0.99961,0.98008,0.98469,0.9933,0.99027,0.98494,0.85635,0.99404,0.92322,0.98683,0.99915,0.99569,0.98907,0.97928,0.97993,0.99792,0.125,0.89555,0.94254,0.98387,0.93673
40115,12164,913089,3546,16067,4932,750281,34,1993,41595,15662,25626,2073,3453,4921,12842,17000527,2276,700,779727,161491,1546,5903,882,894689,2259,2155,58845,156035,14613,90,9907,3308,3038,10610,4180,27915,820,3537,14879,16,7285,1253,2728,3983
0.98172,0.99487,0.99823,0.88445,0.93531,0.88134,0.9975,0.73333,0.99164,0.99348,0.97912,0.98866,0.9602,0.98173,0.99231,0.9892,0.99982,0.89588,0.88651,0.99792,0.99928,0.996,0.98893,0.95411,0.99289,0.93386,0.92218,0.99922,0.99734,0.98918,0.7913,0.97646,0.98718,0.98168,0.9945,0.94576,0.91397,0.95477,0.99183,0.96431,0.9802,0.93041,0.9101,0.97561,0.97277
35507,13638,878714,3756,16340,4626,608942,15,1315,36336,16332,21600,1759,4489,4553,12864,17401310,2026,396,622545,148505,1248,13545,1264,855090,1466,3045,56373,149021,14320,115,10621,3667,2292,10913,9918,23410,398,4653,14598,101,2773,1802,2870,4517
0.98768,0.93998,0.99274,0.94669,0.98925,0.94164,0.98491,0.17647,0.99563,0.97297,0.98714,0.91436,0.93429,0.92499,0.99548,0.99214,0.99997,0.97441,0.90385,0.99373,0.99179,0.95474,0.97906,0.98433,0.99054,0.97997,0.98418,0.99294,0.99228,0.99979,0.61589,0.99854,0.97904,0.98293,0.97611,0.9824,0.96291,0.98218,0.99134,0.9854,0.83117,0.79848,0.95954,0.98893,0.93614
39942,12079,798142,4577,18601,4147,657066,17,1603,39397,17183,20820,1674,4572,4204,12339,17399288,1914,832,665438,154610,1303,25075,383,781096,1447,3666,59023,155390,14189,151,13678,4961,3691,13393,27671,24430,449,7046,13839,308,4262,2521,2981,4134
0.98485,0.9875,0.98971,0.96517,0.97925,0.9505,0.99911,0.96491,0.98923,0.97208,0.99132,0.9721,0.81189,0.97924,0.94352,0.998,0.99966,0.94804,0.8011,0.98025,0.96537,0.98721,0.99791,0.91733,0.99666,0.98697,0.90359,0.99358,0.99834,0.95972,0.69512,0.97887,0.97419,0.99389,0.98741,0.9969,0.9851,1.0,0.98486,0.99387,0.88649,0.9234,0.99645,0.99856,0.99246
32419,12082,779500,3875,19083,4222,606786,28,1206,32340,18209,22042,1850,4382,4479,11522,17595312,2194,638,630841,144241,1172,11510,689,773482,1228,2437,51279,153480,12464,328,12823,3177,2782,11913,8069,21611,426,4360,12887,625,1436,1126,2787,4246
0.94976,0.99521,0.98712,0.95867,0.99636,0.96335,0.99859,0.04478,0.93934,0.99392,0.9906,0.97807,0.98278,0.91139,0.91141,0.99042,0.99948,0.9586,0.79289,0.9919,0.99264,0.95766,0.99369,0.41304,0.99651,0.95537,0.97738,0.99987,0.98217,0.99922,0.88142,0.99366,0.93475,0.97363,0.99165,0.96244,0.98152,0.94228,0.9768,0.98856,0.92933,0.87921,0.97782,0.96594,0.97674
43910,13999,843173,3798,18969,5047,677503,33,2143,44047,18517,22840,2090,5202,5576,13993,17262338,2464,647,676212,158652,1984,20114,92,832986,2173,3404,61817,162129,14093,126,12775,3172,3034,12691,15869,24129,589,4396,13552,283,2020,2479,3171,5330
