"","SUB 1","SUB 2","SUB 3","SUB 4","SUB 5","SUB 6","SUB 7","SUB 8","SUB 9","SUB 10","SUB 11","SUB 12","SUB 13","SUB 14","SUB 15","SUB 16","SUB 17","SUB 18","SUB 19","SUB 20","","MEAN","MIN","MAX","STD","VOXELS"
"0","0.9990779109377","0.99981984115507","0.99996959645792","0.99966241007832","0.9994801978886","0.99948570908455","0.99960655764089","0.99949517255473","0.99949223630812","0.9994080695976","0.99973080323264","0.99948139900246","0.99919410818514","0.9996568442621","0.99924568491741","0.99887662824931","0.99968804617568","0.99938954220341","0.99977461179848","0.99824977570469","Background","0.99943925727174","0.99824977570469","0.99996959645792","0.00038286570150133","17312587"
"42","0.99534875825426","0.99823378255041","0.99274314595648","0.98971391917896","0.98712008093238","0.99302806261746","0.9968343219533","0.9941280924155","0.99439241636277","0.98780051358594","0.998616268075","0.99482939157047","0.98957349826709","0.99569363348145","0.99719261631953","0.99763334865317","0.99567242898913","0.99613790555101","0.99054823474837","0.99885271338384","Right-Cerebral-Cortex    ","0.99420465664233","0.98712008093238","0.99885271338384","0.0035869443917255","828193"
"3","0.99961327343915","0.99288613310521","0.99054405604433","0.99666314363932","0.9965077465241","0.99939001329771","0.99935161436884","0.99825667608555","0.99707347650609","0.98723439334374","0.99781579398257","0.99134328849481","0.99105813085903","0.99409732345005","0.99766886598985","0.99554698258021","0.99606807395198","0.99578817522187","0.99073961497924","0.98847822513205","Left-Cerebral-Cortex","0.99480625004979","0.98723439334374","0.99961327343915","0.0037755113973986","817579"
"41","0.98513069317851","0.99791983075936","0.99373044521052","0.98024541841764","0.9919034327227","0.98095586859693","0.99723199723882","0.99866278776985","0.99216010449272","0.98285785027749","0.99787265290864","0.9902129642154","0.99960905228372","0.99688034234568","0.99740583800561","0.99434702688271","0.99335478505067","0.99492619504696","0.99864757293505","0.98958097546407","Right-Cerebral-White-Matter","0.99268179169015","0.98024541841764","0.99960905228372","0.0060958199233089","687374"
"2","0.99024898671298","0.99750058297835","0.98490866975311","0.99911006516301","0.9985859841211","0.99497975615725","0.99816828115351","0.99705116272415","0.99641026556891","0.9785720585155","0.9929833939322","0.98095727167474","0.99848098366166","0.98290605491293","0.99277938750773","0.98412487432476","0.99299920398683","0.99601816114086","0.96811178576541","0.98509635180879","Left-Cerebral-White-Matter","0.99049966407819","0.96811178576541","0.99911006516301","0.0084305413873411","669889"
"47","0.9902650358412","0.99733595487899","0.99227749533432","0.99833855115145","0.98217468805704","0.99909986636477","0.99413569808464","0.96642933084184","0.99085719001541","0.99555818864026","0.99622997801377","0.99835562568443","0.97510259621666","0.99955924483949","0.99251326848874","0.99426722398188","0.99236542370209","0.99945842510019","0.99614035461825","0.9779382301466"," Right-Cerebellum-Cortex","0.9914201185001","0.96642933084184","0.99955924483949","0.0090650741846164","159657"
"8","0.99155992730267","0.99927948796509","0.9917857835845","0.96537057642911","0.99264430122437","0.99682431745609","0.99712866103747","0.99468683242131","0.9944576405384","0.99752684186427","0.99813539727904","0.99519782263293","0.97951320364627","0.99917333810178","0.99628748836133","0.99679618415476","0.98294900895731","0.99923707218823","0.99584001041806","0.97203862992275","Left-Cerebellum-Cortex","0.99182162627429","0.96537057642911","0.99927948796509","0.0094580718136699","157377"
"16","0.99330444387798","0.99921948450499","0.99293501740832","0.993584180813","0.9998705857612","0.99026283812988","0.98835053457759","0.99234778125931","0.9703620950253","0.99412325029464","0.99068205666317","0.99423058911679","0.85707089511378","0.97863282191341","0.98665392360992","0.99228220362092","0.99677713590757","0.98242193953412","0.988966809994","0.99461192009063","Brain-Stem ","0.98383452536083","0.85707089511378","0.9998705857612","0.030629636085003","61348"
"46","0.95520434744675","0.98172217137225","0.9876821391017","0.98485479418251","0.94976087451605","0.99635799554866","0.99259702100055","0.9623159093815","0.97280337434822","0.9804151978065","0.97056374652542","0.98483019655177","0.99962938941907","0.99984071677451","0.95246385783005","0.97420769334992","0.92603979844564","0.99474210389899","0.97813536420587","0.96067944549033","Right-Cerebellum-White-Matter","0.97524230685981","0.92603979844564","0.99984071677451","0.019387937742756","39653"
"7","0.97879552830869","0.99347763268339","0.97296782790786","0.97207835376695","0.99391559016505","0.98512821202383","0.99883615833199","0.99282313820243","0.99042006404564","0.9877698267195","0.98444766138434","0.92246962314192","0.99114732954212","0.99912383475116","0.98968565125135","0.9933280381255","0.95342134383283","0.9819162969181","0.95540599553032","0.96633340361078","Left-Cerebellum-White-Matter ","0.98017457551219","0.92246962314192","0.99912383475116","0.018911862172285","39383"
"10","0.98907417026383","0.9139683895771","0.9629144494474","0.98510018046365","0.98151601806954","0.98723196674373","0.96347660976563","0.99934848114667","0.96395811348324","0.99437011040433","0.95756851528983","0.9973901347092","0.90056602179606","0.99077130997201","0.98757715598652","0.99539510038681","0.98025925612133","0.97685577194468","0.94883875986221","0.99894465290807","Left-Thalamus-Proper*","0.97375625841709","0.90056602179606","0.99934848114667","0.027156707705214","25076"
"49","0.99695621634278","0.98865766996134","0.91436324776062","0.97209935352161","0.97806527878111","0.99713001952528","0.98928170827967","0.93952887741016","0.97822057460612","0.99687911642517","0.99261804760087","0.98118267751154","0.94389532147228","0.95897368247477","0.91973836615112","0.98741416026607","0.95118050774049","0.98632976143229","0.94183643342191","0.92456016404459","Right-Thalamus-Proper*","0.96694555923649","0.91436324776062","0.99713001952528","0.027746390223645","22740"
"4","0.98763445413738","0.98892580287929","0.97906322904827","0.99791485664639","0.99368614680951","0.98821744175667","0.98424117848578","0.99434147619359","0.98707275973944","0.98810004033885","0.95222929936306","0.98256880733945","0.97438490057297","0.96861119336689","0.9924548573382","0.9778690585967","0.99699878866771","0.97639303371787","0.98158928622638","0.98080593564343","Left-Lateral-Ventricle","0.98365512734339","0.95222929936306","0.99791485664639","0.010737455471039","18308"
"51","0.99329608938547","0.97912138374407","0.98713882503564","0.99132297215663","0.99060322946482","0.94344240689837","0.98331186649493","0.96439898282808","0.9947978512864","0.93915082695631","0.99804746675644","0.97635461833609","0.99537715271674","0.96127239572781","0.99215595130879","0.97170446889737","0.99634428256545","0.99079200419605","0.85817903596021","0.97012388747261","Right-Putamen","0.97384678490941","0.85817903596021","0.99804746675644","0.032162922125137","17172"
"12","0.95070641687932","0.93531409687586","0.98924788989839","0.97924854582613","0.99636258203959","0.96388638099868","0.97655305777133","0.97554983960001","0.91953280736727","0.97407291558058","0.96360071883679","0.9912242505443","0.83324130314743","0.96466302367942","0.9601206336193","0.99697098774197","0.98986038530536","0.81350074510923","0.96479094624332","0.96927908916916","Left-Putamen","0.95538633081167","0.81350074510923","0.99697098774197","0.049253266985887","17016"
"43","0.99569377990431","0.94575519257915","0.98240066494408","0.99690191461677","0.96244249795198","0.98902722093269","0.9937701574","0.99245495608784","0.97697448997446","0.97666034155598","0.90116377129364","0.98483788196874","0.9753338436676","0.926735218509","0.99905018204844","0.96485819975339","0.98066584463625","0.99063944964475","0.96845988166266","0.98765509593455","Right-Lateral-Ventricle ","0.97457402925331","0.90116377129364","0.99905018204844","0.024996303650667","16114"
"17","0.99791659665983","0.96431140185635","0.98540356962208","0.99387002909796","0.98856299575724","0.98763614954372","0.98139320313701","0.96911140389401","0.98523698523698","0.97498955219082","0.99119846186712","0.96380931148516","0.99769390422016","0.98538766311657","0.99590800056441","0.97572495048499","0.98688571840323","0.99704664145507","0.98755418222394","0.995242343146","Left-Hippocampus","0.98524415319813","0.96380931148516","0.99791659665983","0.010691216788715","13588"
"53","0.9849449120646","0.98917635557418","0.99978857605976","0.95972400513479","0.9992194983503","0.99618415595189","0.98866052445074","0.98297538910852","0.99426775786457","0.94794422128605","0.95871208903237","0.98657615157443","0.99293785310734","0.99904618658058","0.99355982488513","0.9920475277167","0.99125965807782","0.98541386390993","0.98836098323634","0.96969423105889","Right-Hippocampus","0.98502468825125","0.94794422128605","0.99978857605976","0.014582812045278","13526"
"60","0.99786254521539","0.99486728259276","0.9399809594768","0.98750258638527","0.99521411478981","0.97755600645989","0.99929888522751","0.97792627074105","0.99293674462408","0.9940218203557","0.94620240440674","0.99337565553409","0.98777333646837","0.99058525960795","0.96665632754342","0.99918844343451","0.97232704402516","0.96538907317853","0.90628793396455","0.99357821731313","Right-VentralDC","0.97892654556724","0.90628793396455","0.99929888522751","0.024152074796956","12959"
"28","0.98022114935368","0.98919507170897","0.99213906560233","0.99800390540247","0.99042378332023","0.98539213729794","0.96572731483131","0.96482591607448","0.97849303969949","0.98560309862243","0.96071612061811","0.99005839486511","0.96428294122214","0.98219764402863","0.98046329891153","0.99099909990999","0.98341856500852","0.94535858429059","0.99480904708936","0.99413040704351","Left-VentralDC","0.98082292924504","0.94535858429059","0.99800390540247","0.013812066073211","12854"
"50","0.99404491546808","0.97646172676772","0.99853779792367","0.97886692400671","0.99365973934484","0.99557358908152","0.99501968029561","0.98804561541486","0.99686544941619","0.99953572589257","0.96303744134827","0.95820417958204","0.96755551049376","0.94861859185492","0.99468152462961","0.98688689047329","0.98328731824038","0.99254180199687","0.95260209699813","0.98902051430222","Right-Caudate ","0.98265235167656","0.94861859185492","0.99953572589257","0.016165408217308","12076"
"11","0.99915178361057","0.99450197012737","0.97610692152617","0.98740871317049","0.99164762430068","0.98195204832924","0.99901136925358","0.97588646875123","0.98604235981498","0.96296627605331","0.9952802359882","0.99410724808485","0.97171438427044","0.99046502540055","0.98252230705547","0.99390905590366","0.99246053561612","0.98709570684093","0.91748209421971","0.99409070763776","Left-Caudate","0.98369014179777","0.91748209421971","0.99915178361057","0.018270527928402","11975"
"54","0.96098353993091","0.99231360491929","0.99548103222738","0.94352048219667","0.91140602582496","0.95519522082355","0.96060754532092","0.94122681883024","0.98502131581979","0.92687216513931","0.99584391595474","0.9943579563264","0.88811188811189","0.95906270260257","0.99713549126325","0.93242535358827","0.95546950629235","0.97351524879615","0.92772073921971","0.9817344925842","Right-Amygdala  ","0.95890025228863","0.88811188811189","0.99713549126325","0.031206589775141","4900"
"18","0.95762797769894","0.8813357829893","0.94164456233422","0.95050325636471","0.96334819217434","0.9541316123084","0.99607072691552","0.97408130658619","0.96933560477002","0.93508619859386","0.9791503778994","0.91304347826087","0.98830124299293","0.93497994511294","0.92076639057978","0.97285607755406","0.96061185468451","0.99690162664601","0.99270572144974","0.94841583447087","Left-Amygdala ","0.95654488851933","0.8813357829893","0.99690162664601","0.029827620137896","4782"
"52","0.90125959171855","0.98173312541769","0.92498633132859","0.97923559612094","0.91138875540605","0.99814490363805","0.97621718644828","0.99113225911106","0.99358974358974","0.92","0.93205248359888","0.92662442905555","0.88910838930594","0.98578199052133","0.96665259603208","0.97673855100557","0.95828710894165","0.94518564484435","0.76190476190476","0.96790445978727","Right-Pallidum  ","0.94439639538882","0.76190476190476","0.99814490363805","0.054223812623162","4490"
"63","0.9853355893965","0.88445154419595","0.94668997159712","0.96516578505999","0.9586678952218","0.9912462566229","0.94841465418104","0.88897468897469","0.97815774958632","0.9219683655536","0.97460750853242","0.94291868605277","0.97819075410843","0.91867852604828","0.99291617473436","0.88579572446556","0.99605112750701","0.97801535913266","0.83118908382066","0.99461387291652","Right-choroid-plexus ","0.94810246588543","0.83118908382066","0.99605112750701","0.045999531446063","4403"
