                                                      	CentOS6/run-1 vs CentOS7/run-1	CentOS5/run-1 vs CentOS7/run-1	CentOS5/run-1 vs CentOS6/run-1	
T1w/subject_name/mri/orig/001.mgz                     	              3.9987556879               	              3.9987531838               	              3.9987520707               	
T1w/subject_name/mri/rawavg.mgz                       	              3.9987556879               	              3.9987531838               	              3.9987520707               	
T1w/subject_name/mri/orig.mgz                         	              3.998949385               	              3.9989505469               	              3.9999621106               	
T1w/subject_name/mri/orig_nu.mgz                      	              3.9978217448               	              3.9977615772               	              3.9996025565               	
T1w/subject_name/mri/nu.mgz                           	              3.9928678301               	              3.9938570767               	              3.9974253609               	
T1w/subject_name/mri/T1.mgz                           	              3.9928678301               	              3.9938570767               	              3.9974253609               	
T1w/subject_name/mri/brainmask.mgz                    	              3.9682348124               	              3.9668692393               	              3.9711165913               	
T1w/subject_name/mri/brainmask.auto.mgz               	              3.9682348124               	              3.9668692393               	              3.9711165913               	
T1w/subject_name/mri/norm.mgz                         	              3.9683128933               	              3.9669886968               	              3.9712091898               	
T1w/subject_name/mri/ctrl_pts.mgz                     	              0.2577615961               	              0.9532434435               	              0.250950634               	
T1w/subject_name/mri/transforms/talairach.m3z.inv.x.mgz	              3.9831752312               	              3.9897683112               	              3.9855596545               	
T1w/subject_name/mri/transforms/talairach.m3z.inv.y.mgz	              3.9385391166               	              3.9572924472               	              3.9459394817               	
T1w/subject_name/mri/transforms/talairach.m3z.inv.z.mgz	              3.9756007585               	              3.9811891405               	              3.9783146009               	
T1w/subject_name/mri/nu_noneck.mgz                    	              3.991202899               	              3.9920985187               	              3.9947340544               	
T1w/subject_name/mri/aseg.auto_noCCseg.mgz            	              3.9455416882               	              3.9539445072               	              3.9505713652               	
T1w/subject_name/mri/aseg.auto.mgz                    	              3.9455445359               	              3.9539471105               	              3.9505739149               	
T1w/subject_name/mri/aseg.mgz                         	              3.9455445359               	              3.9539471105               	              3.9505739149               	
T1w/subject_name/mri/brain.mgz                        	              3.9682003196               	              3.9668733301               	              3.971067656               	
T1w/subject_name/mri/brain.finalsurfs.mgz             	              3.9719322812               	              3.970944987               	              3.9750494701               	
T1w/subject_name/mri/wm.seg.mgz                       	              3.9045081434               	              3.9086368227               	              3.9110478502               	
T1w/subject_name/mri/wm.asegedit.mgz                  	              3.9320929744               	              3.9355894658               	              3.9367970829               	
T1w/subject_name/mri/wm.mgz                           	              3.9321345063               	              3.9355941107               	              3.9369123524               	
T1w/subject_name/mri/filled.mgz                       	              3.9342903639               	              3.9385213454               	              3.9399228418               	
T1w/subject_name/mri/wm.hires.mgz                     	              3.9322248105               	              3.9357438141               	              3.9370433067               	
T1w/subject_name/mri/filled.hires.mgz                 	              3.9343983282               	              3.9386869912               	              3.940054942               	
T1w/subject_name/mri/brain.hires.mgz                  	              3.9682207074               	              3.9669223615               	              3.9710374568               	
T1w/subject_name/mri/aseg.hires.mgz                   	              3.9454260518               	              3.9538387628               	              3.9505567972               	
T1w/subject_name/mri/T1w_hires.masked.mgz             	              3.9682207074               	              3.9669223615               	              3.9710374568               	
T1w/subject_name/mri/T1w_hires.masked.norm.mgz        	              3.9682102962               	              3.9669139748               	              3.9710503165               	
T1w/subject_name/mri/T1w_hires.norm.mgz               	              4.0               	              4.0               	              4.0               	
T1w/subject_name/mri/T2w_hires.norm.mgz               	              4.0               	              4.0               	              4.0               	
T1w/subject_name/mri/T1w_hires.greynorm.mgz           	              4.0               	              4.0               	              4.0               	
T1w/subject_name/mri/lh.ribbon.mgz                    	              3.8739761917               	              3.8753950405               	              3.8792478758               	
T1w/subject_name/mri/ribbon.mgz                       	              3.9558797108               	              3.9551737135               	              3.9560759176               	
T1w/subject_name/mri/rh.ribbon.mgz                    	              3.8781155998               	              3.8740330109               	              3.8810808581               	
T1w/subject_name/mri/aparc+aseg.mgz                   	              3.9553772054               	              3.9558245268               	              3.9561517352               	
T1w/subject_name/mri/aparc.a2009s+aseg.mgz            	              3.9553772054               	              3.9558245268               	              3.9561517352               	
T1w/subject_name/mri/wmparc.mgz                       	              3.9553772054               	              3.9558245268               	              3.9561517352               	
