                                                                            	CentOS6/run-1 vs CentOS7/run-1	CentOS5/run-1 vs CentOS7/run-1	CentOS5/run-1 vs CentOS6/run-1	
MNINonLinear/xfms/NonlinearIntensities.nii.gz                               	              0.0390495161               	              0.0203066483               	              0.0390642684               	
MNINonLinear/xfms/acpc_dc2standard.nii.gz                                   	              0.0092700105               	              0.0093712077               	              0.008516311               	
MNINonLinear/xfms/T1w_acpc_dc_restore_brain_to_MNILinear.nii.gz             	              0.0125803258               	              0.012915959               	              0.0033634858               	
MNINonLinear/xfms/NonlinearReg.nii.gz                                       	              0.0125866538               	              0.0127553729               	              0.0135697421               	
MNINonLinear/xfms/standard2acpc_dc.nii.gz                                   	              0.0088156673               	              0.0089044707               	              0.0076578125               	
MNINonLinear/xfms/NonlinearRegJacobians.nii.gz                              	              0.0114586233               	              0.0112880026               	              0.012650202               	
MNINonLinear/xfms/IntensityModulatedT1.nii.gz                               	              0.014430528               	              0.0103425202               	              0.0146621117               	
MNINonLinear/xfms/2mmReg.nii.gz                                             	              0.0153392545               	              0.015514386               	              0.016131028               	
T1w/ACPCAlignment/acpc_final.nii.gz                                         	              0.0076183682               	              0.0076183682               	              0               	
MNINonLinear/T1w.nii.gz                                                     	              0.0153416655               	              0.0144783009               	              0.0169447177               	
T1w/ACPCAlignment/robustroi.nii.gz                                          	              0.0009471967               	              0.0009471967               	              0               	
MNINonLinear/T2w_restore_brain.nii.gz                                       	              0.0339621169               	              0.0331759915               	              0.0291810901               	
MNINonLinear/T2w_restore.nii.gz                                             	              0.0279148811               	              0.0273299921               	              0.0296576402               	
MNINonLinear/T2w.nii.gz                                                     	              0.0218874352               	              0.0200672537               	              0.0232589238               	
MNINonLinear/T1w_restore.nii.gz                                             	              0.0139572612               	              0.0141225734               	              0.0148724057               	
MNINonLinear/T1w_restore_brain.nii.gz                                       	              0.0264147347               	              0.0263886645               	              0.0200599583               	
T1w/BiasFieldCorrection_sqrtT1wXT1w/SmoothNorm_s5.nii.gz                    	              0.004               	              0.004               	              0.0               	
T1w/BiasFieldCorrection_sqrtT1wXT1w/T1wmulT2w.nii.gz                        	              0.0132176001               	              0.0134384038               	              0.008187955               	
T1w/BiasFieldCorrection_sqrtT1wXT1w/T1wmulT2w_brain_norm.nii.gz             	              0.0244245146               	              0.0245395948               	              0.006727685               	
T1w/BiasFieldCorrection_sqrtT1wXT1w/T1wmulT2w_brain.nii.gz                  	              0.0244315259               	              0.0245531837               	              0.0067702623               	
T1w/BiasFieldCorrection_sqrtT1wXT1w/T1wmulT2w_brain_norm_modulate.nii.gz    	              0.0283885717               	              0.028242621               	              0.0070157848               	
